"UpdateTimes","SgnYear","CountryCode","Cntrnm","UpdateDate","PlateType","Population","PopGrowthRate","FemaleRatio","UrbanPopulation","UrbanPopRatio","UrbanPopGrowthRate","RuralPopulation","RuralPopRatio","RuralPopGrowthRate"
"1","1970","IRQ","伊拉克","","西亚北非","9917.9830","3.4090","49.1343","5569.3440","56.1540","5.3238","4348.6390","43.8460","1.0091"
"1","1970","ISR","以色列","","西亚北非","2974.0000","3.3160","49.5615","2503.9590","84.1950","4.0467","470.0410","15.8050","-0.4892"
"1","1970","JOR","约旦","","西亚北非","1718.9130","6.2186","48.1276","962.0930","55.9710","6.8243","756.8200","44.0290","5.4538"
"1","1970","JPN","日本","","东亚","104345.0000","1.1305","50.9663","75000.0560","71.8770","2.2146","29344.9440","28.1230","-1.5879"
"1","1970","KAZ","哈萨克斯坦","","中亚","12757.2450","1.6369","51.8299","6408.7300","50.2360","2.8163","6348.5150","49.7640","0.4603"
"1","1970","KGZ","吉尔吉斯斯坦","","中亚","2959.9000","2.2239","52.2035","1108.9560","37.4660","2.8988","1850.9440","62.5340","1.8218"
"1","1970","KHM","柬埔寨","","东南亚","6994.8480","1.6674","50.2434","1117.0770","15.9700","10.7804","5877.7710","84.0300","0.0256"
"1","1970","KOR","大韩民国","","东亚","32240.8270","2.1842","49.8816","13123.3060","40.7040","7.0882","19117.5210","59.2960","-1.0482"
"1","1970","KWT","科威特","","西亚北非","746.7670","7.7427","43.2854","639.6880","85.6610","9.0102","107.0790","14.3390","0.4877"
"1","1970","LAO","老挝","","东南亚","2688.4280","2.5617","50.6500","258.7610","9.6250","5.9536","2429.6670","90.3750","2.2071"
"1","1970","LBN","黎巴嫩","","西亚北非","2297.3890","2.0576","49.4989","1366.3720","59.4750","4.9212","931.0170","40.5250","-2.0020"
"1","1970","LKA","斯里兰卡","","南亚","12514.0000","2.1159","48.5060","2441.9820","19.5140","4.1295","10072.0180","80.4860","1.6337"
"1","1970","LTU","立陶宛","","中东欧","3139.6890","1.0363","53.0923","1555.8730","49.5550","3.1264","1583.8160","50.4450","-0.9753"
"1","1970","LVA","拉脱维亚","","中东欧","2359.1640","0.6801","54.3041","1432.3190","60.7130","1.9515","926.8450","39.2870","-1.2534"
"1","1970","MDA","摩尔多瓦","","中东欧","3044.0000","1.3894","53.2366","976.1500","32.0680","4.1687","2067.8500","67.9320","0.1037"
"1","1970","MDV","马尔代夫","","南亚","115.7680","2.7294","48.3211","13.7680","11.8930","4.3798","102.0000","88.1070","2.5087"
"1","1970","MKD","北马其顿","","中东欧","1720.8000","1.3254","49.2654","810.1350","47.0790","4.2588","910.6650","52.9210","-1.2138"
"1","1970","MMR","缅甸","","东南亚","26381.4310","2.4278","51.2123","6022.8810","22.8300","4.1108","20358.5500","77.1700","1.9353"
"1","1970","MNE","黑山","","中东欧","512.4070","-0.1819","51.1717","137.5970","26.8530","3.2200","374.8100","73.1470","-1.4023"
"1","1970","MNG","蒙古","","东亚","1278.8250","2.9046","50.7472","576.1360","45.0520","4.5066","702.6890","54.9480","1.6100"
"1","1970","MYS","马来西亚","","东南亚","10803.9780","2.3862","49.4774","3614.3630","33.4540","4.5772","7189.6150","66.5460","1.3026"
"1","1970","NPL","尼泊尔","","南亚","11997.9290","1.9905","50.2914","474.6380","3.9560","3.1345","11523.2910","96.0440","1.9436"
"1","1970","OMN","阿曼","","西亚北非","723.8520","3.2471","50.8663","214.7310","29.6650","8.6919","509.1210","70.3350","1.0367"
"1","1970","PAK","巴基斯坦","","南亚","58090.7590","2.7015","47.1303","14416.3840","24.8170","3.7751","43674.3750","75.1830","2.3497"
"1","1970","PHL","菲律宾","","东南亚","35804.7290","2.8819","49.4090","11808.0420","32.9790","3.8172","23996.6870","67.0210","2.4249"
"1","1970","POL","波兰","","中东欧","32664.3000","0.3558","51.4273","17026.2660","52.1250","1.1242","15638.0340","47.8750","-0.4742"
"1","1970","PRK","朝鲜民主主义人民共和国","","东亚","14410.4000","2.8155","52.7196","7810.4370","54.2000","7.7139","6599.9630","45.8000","-2.6875"
"1","1970","QAT","卡塔尔","","西亚北非","109.5140","8.2180","36.0856","96.7600","88.3540","8.5025","12.7540","11.6460","6.0855"
"1","1970","ROU","罗马尼亚","","中东欧","20250.3980","1.1985","50.8793","8164.7580","40.3190","2.4389","12085.6400","59.6810","0.3692"
"1","1970","RUS","俄罗斯联邦","","俄罗斯","130404.0000","0.5691","54.3559","81464.6830","62.4710","1.9115","48939.3170","37.5290","-1.6263"
"1","1970","SAU","沙特阿拉伯","","西亚北非","5836.3890","4.1412","49.0852","2840.5120","48.6690","8.3674","2995.8770","51.3310","0.2927"
"1","1970","SGP","新加坡","","东南亚","2074.5000","1.5546","48.8029","2074.5000","100.0000","1.5546","0.0000","0.0000",""
"1","1970","SVK","斯洛伐克共和国","","中东欧","4538.2230","0.4332","50.6368","1863.2580","41.0570","2.4357","2674.9650","58.9430","-0.9384"
"1","1970","SVN","斯洛文尼亚","","中东欧","1724.8910","0.6408","51.5971","638.2790","37.0040","3.1667","1086.6120","62.9960","-0.8138"
"1","1970","SYR","阿拉伯叙利亚共和国","","西亚北非","6350.5410","3.3870","48.9706","2752.6420","43.3450","4.9542","3597.8990","56.6550","2.2044"
"1","1970","THA","泰国","","东南亚","36884.9130","2.9106","49.8828","7704.8890","20.8890","3.9742","29180.0240","79.1110","2.6317"
"1","1970","TJK","塔吉克斯坦","","中亚","2930.0790","3.1145","50.7698","1080.4960","36.8760","3.3833","1849.5830","63.1240","2.9578"
"1","1970","TKM","土库曼斯坦","","中亚","2195.1730","2.8826","50.7743","1048.8540","47.7800","3.0062","1146.3190","52.2200","2.7696"
"1","1970","TLS","东帝汶","","东南亚","605.1250","2.2369","49.2172","77.9760","12.8860","4.7510","527.1490","87.1140","1.8704"
"1","1970","TUR","土耳其","","西亚北非","34876.2670","2.3819","50.4049","13334.5920","38.2340","4.5847","21541.6750","61.7660","1.0423"
"1","1970","UKR","乌克兰","","中东欧","47086.7610","0.7249","54.5283","25818.1420","54.8310","2.1743","21268.6190","45.1690","-1.0068"
"1","1970","UZB","乌兹别克斯坦","","中亚","12110.0280","3.2409","51.3106","4446.0760","36.7140","4.2263","7663.9520","63.2860","2.6737"
"1","1970","VNM","越南","","东南亚","42729.0000","2.2628","50.7081","7819.4070","18.3000","4.4114","34909.5930","81.7000","1.7878"
"1","1970","YEM","也门共和国","","西亚北非","6193.8100","1.7951","50.7276","823.7770","13.3000","5.5098","5370.0330","86.7000","1.2372"
"2","1970","AFG","阿富汗","2023-11-23","南亚","10752.9710","2.4332","48.7267","1251.9680","11.6430","5.6448","9501.0030","88.3570","2.0176"
"2","1970","ALB","阿尔巴尼亚","2023-11-23","中东欧","2135.4790","2.5509","48.3405","677.8010","31.7400","3.1576","1457.6780","68.2600","2.2700"
"2","1970","ARE","阿拉伯联合酋长国","2023-11-23","西亚北非","298.0840","16.2955","32.7216","237.8710","79.8000","16.2956","60.2130","20.2000","16.2950"
"2","1970","ARM","亚美尼亚","2023-11-23","西亚北非","2534.3770","2.3159","51.2194","1517.1790","59.8640","3.6984","1017.1980","40.1360","0.2886"
"2","1970","AZE","阿塞拜疆","2023-11-23","西亚北非","5172.0500","2.1251","51.7582","2586.4390","50.0080","2.2151","2585.6110","49.9920","2.0351"
"2","1970","BGD","孟加拉国","2023-11-23","南亚","67541.8600","2.5111","48.1827","5128.4530","7.5930","6.5012","62413.4070","92.4070","2.1903"
"2","1970","BGR","保加利亚","2023-11-23","中东欧","8489.5740","0.6547","50.5802","4440.0470","52.3000","3.1052","4049.5270","47.7000","-1.9648"
"2","1970","BHR","巴林","2023-11-23","西亚北非","222.5550","2.6679","44.9372","186.4450","83.7750","2.9650","36.1100","16.2250","1.1475"
"2","1970","BIH","波斯尼亚和黑塞哥维那","2023-11-23","中东欧","3815.5610","1.1913","51.3494","1037.8710","27.2010","4.6245","2777.6900","72.7990","-0.0618"
"2","1970","BLR","白俄罗斯","2023-11-23","中东欧","9040.0000","0.8855","53.9077","3978.5040","44.0100","3.7669","5061.4960","55.9900","-1.3225"
"2","1970","BRN","文莱达鲁萨兰国","2023-11-23","东南亚","133.3430","4.0801","45.9492","82.2390","61.6750","6.9871","51.1040","38.3250","-0.4276"
"2","1970","BTN","不丹","2023-11-23","南亚","298.8940","3.2639","47.8320","18.2000","6.0890","8.4577","280.6940","93.9110","2.9362"
"2","1970","CHN","中国","2023-11-23","东亚","818315.0000","2.7617","49.0454","142386.8100","17.4000","2.0287","675928.1900","82.6000","2.9168"
"2","1970","CZE","捷克共和国","2023-11-23","中东欧","9858.0710","-0.3899","51.5684","6348.7950","64.4020","0.3457","3509.2760","35.5980","-1.7071"
"2","1970","EGY","阿拉伯埃及共和国","2023-11-23","西亚北非","34781.9860","2.2858","49.6026","14426.5240","41.4770","3.1575","20355.4620","58.5230","1.6726"
"2","1970","EST","爱沙尼亚","2023-11-23","中东欧","1360.0760","1.0961","54.2447","883.3290","64.9470","2.0865","476.7470","35.0530","-0.7133"
"2","1970","GEO","格鲁吉亚","2023-11-23","西亚北非","4119.9000","0.9658","53.4474","1977.7990","48.0060","1.9792","2142.1010","51.9940","0.0393"
"2","1970","HRV","克罗地亚","2023-11-23","中东欧","4412.2520","0.4717","51.7805","1773.5490","40.1960","3.1595","2638.7030","59.8040","-1.2951"
"2","1970","HUN","匈牙利","2023-11-23","中东欧","10337.9100","0.3798","51.5373","6214.3240","60.1120","1.0826","4123.5860","39.8880","-0.6701"
"2","1970","IDN","印度尼西亚","2023-11-23","东南亚","115228.3940","2.7086","50.0970","19670.6390","17.0710","4.2552","95557.7550","82.9290","2.3931"
"2","1970","IND","印度","2023-11-23","南亚","557501.3010","2.2102","48.2885","110162.2570","19.7600","3.2173","447339.0440","80.2400","1.9637"
"2","1970","IRN","伊朗伊斯兰共和国","2023-11-23","西亚北非","28449.7050","2.8740","48.4540","11724.6920","41.2120","5.0598","16725.0130","58.7880","1.3698"
"2","1970","IRQ","伊拉克","2023-11-23","西亚北非","9811.3470","3.4700","50.4541","5509.4640","56.1540","5.3847","4301.8830","43.8460","1.0700"
"2","1970","ISR","以色列","2023-11-23","西亚北非","2974.0000","3.3160","49.9789","2503.9590","84.1950","4.0467","470.0410","15.8050","-0.4892"
"2","1970","JOR","约旦","2023-11-23","西亚北非","1557.3740","6.0172","48.8479","871.6780","55.9710","6.6229","685.6960","44.0290","5.2524"
"2","1970","JPN","日本","2023-11-23","东亚","103403.0000","1.1516","50.7852","74322.9740","71.8770","2.2357","29080.0260","28.1230","-1.5668"
"2","1970","KAZ","哈萨克斯坦","2023-11-23","中亚","12265.3050","1.8334","51.7150","6161.5990","50.2360","3.0128","6103.7060","49.7640","0.6568"
"2","1970","KGZ","吉尔吉斯斯坦","2023-11-23","中亚","2959.9000","2.2239","51.4945","1108.9560","37.4660","2.8988","1850.9440","62.5340","1.8218"
"2","1970","KHM","柬埔寨","2023-11-23","东南亚","6708.5250","0.4305","50.3820","1071.3510","15.9700","9.5434","5637.1740","84.0300","-1.2113"
"2","1970","KOR","大韩民国","2023-11-23","东亚","32240.8270","2.1842","49.6998","13123.3060","40.7040","7.0882","19117.5210","59.2960","-1.0482"
"2","1970","KWT","科威特","2023-11-23","西亚北非","802.7860","7.7333","43.9613","687.6750","85.6610","9.0011","115.1110","14.3390","0.4772"
"2","1970","LAO","老挝","2023-11-23","东南亚","2675.2830","2.3896","50.6531","257.4960","9.6250","5.7815","2417.7870","90.3750","2.0351"
"2","1970","LBN","黎巴嫩","2023-11-23","西亚北非","2381.7910","2.4639","49.4728","1416.5700","59.4750","5.3275","965.2210","40.5250","-1.5956"
"2","1970","LKA","斯里兰卡","2023-11-23","南亚","12388.7690","2.1999","48.2909","2180.1760","17.5980","2.7583","10208.5930","82.4020","2.0810"
"2","1970","LTU","立陶宛","2023-11-23","中东欧","3139.6890","1.0363","52.9475","1555.8730","49.5550","3.1264","1583.8160","50.4450","-0.9753"
"2","1970","LVA","拉脱维亚","2023-11-23","中东欧","2359.1640","0.6801","54.3417","1432.3190","60.7130","1.9515","926.8450","39.2870","-1.2534"
"2","1970","MDA","摩尔多瓦","2023-11-23","中东欧","2456.5140","1.1184","53.8542","787.7550","32.0680","3.8977","1668.7590","67.9320","-0.1672"
"2","1970","MDV","马尔代夫","2023-11-23","南亚","123.2430","3.0264","46.3556","14.6570","11.8930","4.6790","108.5860","88.1070","2.8055"
"2","1970","MKD","北马其顿","2023-11-23","中东欧","1656.7830","1.4152","49.4440","779.9970","47.0790","4.3487","876.7860","52.9210","-1.1242"
"2","1970","MMR","缅甸","2023-11-23","东南亚","27284.1120","2.3160","49.8752","6228.9630","22.8300","3.9989","21055.1490","77.1700","1.8235"
"2","1970","MNE","黑山","2023-11-23","中东欧","512.4070","-0.1819","51.7938","137.5970","26.8530","3.2200","374.8100","73.1470","-1.4023"
"2","1970","MNG","蒙古","2023-11-23","东亚","1293.8800","2.5037","50.0728","582.9190","45.0520","4.1058","710.9610","54.9480","1.2090"
"2","1970","MYS","马来西亚","2023-11-23","东南亚","10306.5080","2.4041","49.1444","3447.9390","33.4540","4.5951","6858.5690","66.5460","1.3205"
"2","1970","NPL","尼泊尔","2023-11-23","南亚","12501.2850","2.1786","49.4831","494.5510","3.9560","3.3226","12006.7340","96.0440","2.1318"
"2","1970","OMN","阿曼","2023-11-23","西亚北非","670.6930","2.5827","50.0198","198.9610","29.6650","8.0273","471.7320","70.3350","0.3723"
"2","1970","PAK","巴基斯坦","2023-11-23","南亚","59290.8720","2.7600","46.7128","14714.2160","24.8170","3.8336","44576.6560","75.1830","2.4082"
"2","1970","PHL","菲律宾","2023-11-23","东南亚","37435.5860","2.5935","49.9770","12345.8820","32.9790","3.5288","25089.7040","67.0210","2.1365"
"2","1970","POL","波兰","2023-11-23","中东欧","32664.3000","0.3558","51.4027","17026.2660","52.1250","1.1242","15638.0340","47.8750","-0.4742"
"2","1970","PRK","朝鲜民主主义人民共和国","2023-11-23","东亚","14996.8790","2.6445","53.1042","8128.3080","54.2000","7.5430","6868.5710","45.8000","-2.8584"
"1","1970","PSE","约旦河西岸和加沙","2023-11-23","西亚北非","","","49.6769","","54.2980","","","45.7020",""
"2","1970","QAT","卡塔尔","2023-11-23","西亚北非","118.0070","12.1394","41.6602","104.2640","88.3540","12.4236","13.7430","11.6460","10.0095"
"2","1970","ROU","罗马尼亚","2023-11-23","中东欧","20250.3980","1.1985","51.2558","8164.7580","40.3190","2.4389","12085.6400","59.6810","0.3692"
"2","1970","RUS","俄罗斯联邦","2023-11-23","俄罗斯","130404.0000","0.5691","54.4334","81464.6830","62.4710","1.9115","48939.3170","37.5290","-1.6263"
"2","1970","SAU","沙特阿拉伯","2023-11-23","西亚北非","6106.1910","4.3743","48.6013","2971.8220","48.6690","8.6005","3134.3690","51.3310","0.5258"
"2","1970","SGP","新加坡","2023-11-23","东南亚","2074.5070","1.5549","48.4869","2074.5070","100.0000","1.5549","0.0000","0.0000",""
"2","1970","SRB","塞尔维亚","2023-11-23","中东欧","6972.0000","0.3880","51.7711","2770.9520","39.7440","3.2854","4201.0480","60.2560","-1.4781"
"2","1970","SVK","斯洛伐克共和国","2023-11-23","中东欧","4538.2230","0.4332","50.6362","1863.2580","41.0570","2.4357","2674.9650","58.9430","-0.9384"
"2","1970","SVN","斯洛文尼亚","2023-11-23","中东欧","1724.8910","0.6408","51.8970","638.2790","37.0040","3.1667","1086.6120","62.9960","-0.8138"
"2","1970","SYR","阿拉伯叙利亚共和国","2023-11-23","西亚北非","6319.1990","3.3442","48.9482","2739.0570","43.3450","4.9114","3580.1420","56.6550","2.1616"
"2","1970","THA","泰国","2023-11-23","东南亚","35791.7280","2.8456","49.8130","7476.5340","20.8890","3.9092","28315.1940","79.1110","2.5667"
"2","1970","TJK","塔吉克斯坦","2023-11-23","中亚","2993.0190","3.1622","50.6987","1103.7060","36.8760","3.4311","1889.3130","63.1240","3.0055"
"2","1970","TKM","土库曼斯坦","2023-11-23","中亚","2201.4320","2.8509","51.0137","1051.8440","47.7800","2.9745","1149.5880","52.2200","2.7380"
"2","1970","TLS","东帝汶","2023-11-23","东南亚","554.0210","1.7809","49.8483","71.3910","12.8860","4.2960","482.6300","87.1140","1.4141"
"2","1970","TUR","土耳其","2023-11-23","西亚北非","35540.9900","2.3313","49.3871","13588.7420","38.2340","4.5341","21952.2480","61.7660","0.9917"
"2","1970","UKR","乌克兰","2023-11-23","中东欧","47279.0860","0.6114","54.8285","25923.5960","54.8310","2.0609","21355.4900","45.1690","-1.1203"
"2","1970","UZB","乌兹别克斯坦","2023-11-23","中亚","12011.3610","3.1265","50.8919","4409.8510","36.7140","4.1118","7601.5100","63.2860","2.5592"
"2","1970","VNM","越南","2023-11-23","东南亚","41928.8490","2.2015","51.0074","7672.9790","18.3000","4.3501","34255.8700","81.7000","1.7265"
"2","1970","YEM","也门共和国","2023-11-23","西亚北非","6843.6070","2.5098","50.4500","910.2000","13.3000","6.2246","5933.4070","86.7000","1.9520"
"3","1970","AFG","阿富汗","2024-11-07","南亚","10752.9710","2.4332","48.7267","1251.9680","11.6430","5.6448","9501.0030","88.3570","2.0176"
"3","1970","ALB","阿尔巴尼亚","2024-11-07","中东欧","2135.4790","2.5509","48.3405","677.8010","31.7400","3.1576","1457.6780","68.2600","2.2700"
"3","1970","ARE","阿拉伯联合酋长国","2024-11-07","西亚北非","298.0840","16.2955","32.7216","237.8710","79.8000","16.2956","60.2130","20.2000","16.2950"
"3","1970","ARM","亚美尼亚","2024-11-07","西亚北非","2534.3770","2.3159","51.2194","1517.1790","59.8640","3.6984","1017.1980","40.1360","0.2886"
"3","1970","AZE","阿塞拜疆","2024-11-07","西亚北非","5172.0500","2.1251","51.7582","2586.4390","50.0080","2.2151","2585.6110","49.9920","2.0351"
"3","1970","BGD","孟加拉国","2024-11-07","南亚","67541.8600","2.5111","48.1827","5128.4530","7.5930","6.5012","62413.4070","92.4070","2.1903"
"3","1970","BGR","保加利亚","2024-11-07","中东欧","8489.5740","0.6547","50.5802","4440.0470","52.3000","3.1052","4049.5270","47.7000","-1.9648"
"3","1970","BHR","巴林","2024-11-07","西亚北非","222.5550","2.6679","44.9372","186.4450","83.7750","2.9650","36.1100","16.2250","1.1475"
"3","1970","BIH","波斯尼亚和黑塞哥维那","2024-11-07","中东欧","3815.5610","1.1913","51.3494","1037.8710","27.2010","4.6245","2777.6900","72.7990","-0.0618"
"3","1970","BLR","白俄罗斯","2024-11-07","中东欧","9040.0000","0.8855","53.9077","3978.5040","44.0100","3.7669","5061.4960","55.9900","-1.3225"
"3","1970","BRN","文莱达鲁萨兰国","2024-11-07","东南亚","133.3430","4.0801","45.9492","82.2390","61.6750","6.9871","51.1040","38.3250","-0.4276"
"3","1970","BTN","不丹","2024-11-07","南亚","298.8940","3.2639","47.8320","18.2000","6.0890","8.4577","280.6940","93.9110","2.9362"
"3","1970","CHN","中国","2024-11-07","东亚","818315.0000","2.7617","49.0454","142386.8100","17.4000","2.0287","675928.1900","82.6000","2.9168"
"3","1970","CZE","捷克共和国","2024-11-07","中东欧","9858.0710","-0.3899","51.5684","6348.7950","64.4020","0.3457","3509.2760","35.5980","-1.7071"
"3","1970","EGY","阿拉伯埃及共和国","2024-11-07","西亚北非","34781.9860","2.2858","49.6026","14426.5240","41.4770","3.1575","20355.4620","58.5230","1.6726"
"3","1970","EST","爱沙尼亚","2024-11-07","中东欧","1360.0760","1.0961","54.2447","883.3290","64.9470","2.0865","476.7470","35.0530","-0.7133"
"3","1970","GEO","格鲁吉亚","2024-11-07","西亚北非","4119.9000","0.9658","53.4474","1977.7990","48.0060","1.9792","2142.1010","51.9940","0.0393"
"3","1970","HRV","克罗地亚","2024-11-07","中东欧","4412.2520","0.4717","51.7805","1773.5490","40.1960","3.1595","2638.7030","59.8040","-1.2951"
"3","1970","HUN","匈牙利","2024-11-07","中东欧","10337.9100","0.3798","51.5373","6214.3240","60.1120","1.0826","4123.5860","39.8880","-0.6701"
"3","1970","IDN","印度尼西亚","2024-11-07","东南亚","115228.3940","2.7086","50.0970","19670.6390","17.0710","4.2552","95557.7550","82.9290","2.3931"
"3","1970","IND","印度","2024-11-07","南亚","557501.3010","2.2102","48.2885","110162.2570","19.7600","3.2173","447339.0440","80.2400","1.9637"
"3","1970","IRN","伊朗伊斯兰共和国","2024-11-07","西亚北非","28449.7050","2.8740","48.4540","11724.6920","41.2120","5.0598","16725.0130","58.7880","1.3698"
"3","1970","IRQ","伊拉克","2024-11-07","西亚北非","9811.3470","3.4700","50.4541","5509.4640","56.1540","5.3847","4301.8830","43.8460","1.0700"
"3","1970","ISR","以色列","2024-11-07","西亚北非","2974.0000","3.3160","49.9789","2503.9590","84.1950","4.0467","470.0410","15.8050","-0.4892"
"3","1970","JOR","约旦","2024-11-07","西亚北非","1557.3740","6.0172","48.8479","871.6780","55.9710","6.6229","685.6960","44.0290","5.2524"
"3","1970","JPN","日本","2024-11-07","东亚","103403.0000","1.1516","50.7852","74322.9740","71.8770","2.2357","29080.0260","28.1230","-1.5668"
"3","1970","KAZ","哈萨克斯坦","2024-11-07","中亚","12265.3050","1.8334","51.7150","6161.5990","50.2360","3.0128","6103.7060","49.7640","0.6568"
"3","1970","KGZ","吉尔吉斯斯坦","2024-11-07","中亚","2959.9000","2.2239","51.4945","1108.9560","37.4660","2.8988","1850.9440","62.5340","1.8218"
"3","1970","KHM","柬埔寨","2024-11-07","东南亚","6708.5250","0.4305","50.3820","1071.3510","15.9700","9.5434","5637.1740","84.0300","-1.2113"
"3","1970","KOR","大韩民国","2024-11-07","东亚","32240.8270","2.1842","49.6998","13123.3060","40.7040","7.0882","19117.5210","59.2960","-1.0482"
"3","1970","KWT","科威特","2024-11-07","西亚北非","802.7860","7.7333","43.9613","687.6750","85.6610","9.0011","115.1110","14.3390","0.4772"
"3","1970","LAO","老挝","2024-11-07","东南亚","2675.2830","2.3896","50.6531","257.4960","9.6250","5.7815","2417.7870","90.3750","2.0351"
"3","1970","LBN","黎巴嫩","2024-11-07","西亚北非","2381.7910","2.4639","49.4728","1416.5700","59.4750","5.3275","965.2210","40.5250","-1.5956"
"3","1970","LKA","斯里兰卡","2024-11-07","南亚","12388.7690","2.1999","48.2909","2180.1760","17.5980","2.7583","10208.5930","82.4020","2.0810"
"3","1970","LTU","立陶宛","2024-11-07","中东欧","3139.6890","1.0363","52.9475","1555.8730","49.5550","3.1264","1583.8160","50.4450","-0.9753"
"3","1970","LVA","拉脱维亚","2024-11-07","中东欧","2359.1640","0.6801","54.3417","1432.3190","60.7130","1.9515","926.8450","39.2870","-1.2534"
"3","1970","MDA","摩尔多瓦","2024-11-07","中东欧","2456.5140","1.1184","53.8542","787.7550","32.0680","3.8977","1668.7590","67.9320","-0.1672"
"3","1970","MDV","马尔代夫","2024-11-07","南亚","123.2430","3.0264","46.3556","14.6570","11.8930","4.6790","108.5860","88.1070","2.8055"
"3","1970","MKD","北马其顿","2024-11-07","中东欧","1656.7830","1.4152","49.4440","779.9970","47.0790","4.3487","876.7860","52.9210","-1.1242"
"3","1970","MMR","缅甸","2024-11-07","东南亚","27284.1120","2.3160","49.8752","6228.9630","22.8300","3.9989","21055.1490","77.1700","1.8235"
"3","1970","MNE","黑山","2024-11-07","中东欧","512.4070","-0.1819","51.7938","137.5970","26.8530","3.2200","374.8100","73.1470","-1.4023"
"3","1970","MNG","蒙古","2024-11-07","东亚","1293.8800","2.5037","50.0728","582.9190","45.0520","4.1058","710.9610","54.9480","1.2090"
"3","1970","MYS","马来西亚","2024-11-07","东南亚","10306.5080","2.4041","49.1444","3447.9390","33.4540","4.5951","6858.5690","66.5460","1.3205"
"3","1970","NPL","尼泊尔","2024-11-07","南亚","12501.2850","2.1786","49.4831","494.5510","3.9560","3.3226","12006.7340","96.0440","2.1318"
"3","1970","OMN","阿曼","2024-11-07","西亚北非","670.6930","2.5827","50.0198","198.9610","29.6650","8.0273","471.7320","70.3350","0.3723"
"3","1970","PAK","巴基斯坦","2024-11-07","南亚","59290.8720","2.7600","46.7128","14714.2160","24.8170","3.8336","44576.6560","75.1830","2.4082"
"3","1970","PHL","菲律宾","2024-11-07","东南亚","37435.5860","2.5935","49.9770","12345.8820","32.9790","3.5288","25089.7040","67.0210","2.1365"
